flightid,origem,destino,dt_dep,dt_arr
a0d76c030a73e51d0bc6176f88d35704,SBRF,SBSP,1666865496000,1666877247000
6246198e7c9ddc54a2ad8001ca259c61,SBGL,SBGR,1666857406000,1666860122000
5044db558a3cfaf5c0bbbb49bc68936f,SBBR,SBGR,1666856052000,1666860849000
ce1d19dbb3bd0fa42db3670dda2bf3cc,SBCT,SBGR,1666857929000,1666860942000
0ffd470517b4d2154eee77d6367f3a30,SBCF,SBGR,1666858405000,1666861385000
96804923205d75aea6c6a2def6f0b63b,SBCT,SBGR,1666858250000,1666861171000
f0708265f8c698681fded9cd05d47cbc,SBRJ,SBGR,1666861550000,1666864259000
13478616105c3deee71e8e4f761819d3,SBFL,SBGR,1666859831000,1666863810000
c660e7ca7ce2308fd890601fe488df32,SBPA,SBGR,1666859784000,1666864584000
6d1ef34c1fb76ae5dd0f8fc162febf73,SBCF,SBGR,1666862240000,1666865316000
052844885b5eb178a4e0877fbb2bb70c,SBPA,SBGR,1666860372000,1666865184000
2f9c388711f01e3ab09fd4a3e81a5721,SBPA,SBGR,1666861266000,1666865872000
fee842ccf0e1f8a576a3e980ffc25b33,SBBR,SBGR,1666864682000,1666869421000
b94978a74a91e939ba365689bc19cea5,SBCF,SBGR,1666865876000,1666869085000
706d2862e1a81e3e1139c728ae0ce318,SBCT,SBSP,1666865710000,1666868275000
b48627478510ae778939018a83fec563,SBCF,SBSP,1666864538000,1666868704000
0cd48e5a925869ee12cdc30f580e3015,SBPA,SBSP,1666865308000,1666869412000
3ff3ce6107e7039acd1c403f0b882879,SBRJ,SBSP,1666866341000,1666869028000
b26507b933787534479453c5c5d65995,SBFL,SBSP,1666866883000,1666869976000
e84ffc36cea84b4b6d8fbfa146c7e376,SBRJ,SBSP,1666867068000,1666869653000
df558c04149e98b0dcb12a04217aff02,SBGR,SBBR,1666868190000,1666872737000
6521fb382953296cac44de4a220fc85a,SBKP,SBBR,1666869118000,1666873356000
579e6d1d8fefba6c02d27d616777e24f,SBBR,SBGL,1666868732000,1666873197000
a55ddd344a4fe44d01d60964093320af,SBCT,SBGR,1666872237000,1666875122000
dbc67a504fc874c659d866bddbdcf3b8,SBCF,SBSP,1666872459000,1666876880000
a78290a7b32b5db00ef6776fdc80d276,SBFL,SBSP,1666873076000,1666876342000
30cb0a3b9cd30cfc049923da8b40b6fd,SBFL,SBSP,1666873974000,1666877364000
90ff9e3dd29160a519b3d716a2897d39,SBPA,SBBR,1666859220000,1666866703000
0c097576811e42db8a81d1ac4945f25d,SBFL,SBBR,1666860346000,1666866451000
76607b6c461a3863a95eaf99d7d417f1,SBSP,SBBR,1666862161000,1666866980000
59a3d2b5f9eebaf8cb99619ea2e02cc5,SBRJ,SBBR,1666862153000,1666867470000
d001578990206b92662d7b3a1133c1dd,SBCT,SBBR,1666861813000,1666867194000
