flightid,origem,destino,dt_dep,dt_arr
df9b5ec3d6bee2962a0297a88d09cc55,SBSP,SBCF,1683937255000,1683940317000
de868fe034fa7d2ccb3382fcfad2bb35,SBSP,SBCF,1683989833000,1683992941000
3f9db6e9f6d32020cc7c37767cb1a921,SBSP,SBCF,1683992107000,1683995162000
6720f7ed6808250080bba1063eb6c207,SBSP,SBCT,1683988124000,1683990609000
407a1d5f4f0b5c71ecfe4c67e0b5bf0e,SBRJ,SBCT,1683986073000,1683990162000
755fcaa2b49a807964a528e4d78ff1b4,SBGR,SBCT,1683990835000,1683993431000
8d4fd11cd9ec04412138caed0c048e24,SBSP,SBCT,1683991734000,1683994069000
c334e71489c5b0055d95fbd10edb7222,SBSP,SBCT,1683992721000,1683995139000
627f7f22aee416cc3dc650a632e17e63,SBRJ,SBFL,1683989924000,1683994711000
1c65ccf9cc6ea51438f4bd7195d1c1c4,SBRJ,SBFL,1683990432000,1683995138000
61ac62217f678cae504df7f99ec920f4,SBBR,SBSP,1683990360000,1683995218000
067d6e4747839dac45fca444e70b5a65,SBCT,SBSP,1683993270000,1683995953000
a7c1255802de4722c76690f967e47229,SBCF,SBSP,1683992309000,1683996235000
ade4b91ce2e61a2edfa20c8f868ceb96,SBFL,SBSP,1683993525000,1683996705000
aae3040ee5d3f77d275a110f3617cd19,SBKP,SBGL,1683993683000,1683997103000
b4e60eeccd1f00efc5089b7042c710bf,SBSP,SBBR,1683991953000,1683996672000
a554afb3611612896fa9421787cc3c71,SBPA,SBBR,1683990277000,1683997773000
e91a459bc4ee817efb85927b22a976b9,SBPA,SBBR,1683990933000,1683998310000
7377e7783569985d94e123fb81e3d4a8,SBRJ,SBBR,1683992333000,1683998168000
ca72d78fd1c1a78761778250f5bf0f6f,SBRJ,SBSP,1683997236000,1684000140000
a95e89f03c14d5591414c2b08f21c26d,SBSV,SBSP,1683991702000,1683999949000
94eb5cfcd3ef58a28e05975f8b5334c8,SBCT,SBSP,1683997897000,1684000425000
1c76e7dadd254d6d94f15d92d7555dee,SBCF,SBPA,1683994046000,1684001386000
f1c634a6869b7d86fd53e0f5495d7af2,SBBR,SBPA,1683993183000,1684001681000
618c825a81962af091e62c337ce2c954,SBKP,SBPA,1683997250000,1684002751000
67fe6dcc6f9e90aa7a1563a05b9c11f5,SBSP,SBBR,1683999395000,1684004156000
67705122e41f18b58fb76f94ed718d02,SBSP,SBBR,1683999524000,1684004289000
075135e51e6a244e95cf34795b847856,SBSP,SBBR,1684001048000,1684005863000
056561d94bd1d9ed13593dabb2dab38b,SBCF,SBKP,1684001164000,1684004379000
9e2e21b3d584f11bbd923de4703c1713,SBCT,SBKP,1684004122000,1684006338000
9c4a67b832379a361568e37ff6dd1c26,SBBR,SBCF,1684003597000,1684006680000
45a7b35c79c0a810a3af685d8f4cbba9,SBSV,SBCF,1684001897000,1684007377000
8b7ca00db3cf4436f17bd90714890c64,SBSP,SBFL,1684005866000,1684009202000
e4fe218d4fcf0697c5083169e05756de,SBRJ,SBCT,1683994973000,1683999176000
