esperas,hora,aero
0,1674691200000,SBBR
0,1674694800000,SBBR
0,1674698400000,SBBR
0,1674702000000,SBBR
0,1674705600000,SBBR
0,1674709200000,SBBR
0,1674712800000,SBBR
0,1674716400000,SBBR
0,1674720000000,SBBR
0,1674723600000,SBBR
0,1674727200000,SBBR
0,1674730800000,SBBR
0,1674734400000,SBBR
0,1674738000000,SBBR
0,1674741600000,SBBR
0,1674745200000,SBBR
0,1674748800000,SBBR
0,1674752400000,SBBR
0,1674756000000,SBBR
0,1674759600000,SBBR
0,1674763200000,SBBR
0,1674766800000,SBBR
0,1674770400000,SBBR
0,1674774000000,SBBR
0,1674691200000,SBCF
0,1674694800000,SBCF
0,1674698400000,SBCF
0,1674702000000,SBCF
0,1674705600000,SBCF
0,1674709200000,SBCF
0,1674712800000,SBCF
0,1674716400000,SBCF
0,1674720000000,SBCF
0,1674723600000,SBCF
0,1674727200000,SBCF
0,1674730800000,SBCF
0,1674734400000,SBCF
0,1674738000000,SBCF
0,1674741600000,SBCF
0,1674745200000,SBCF
2,1674748800000,SBCF
0,1674752400000,SBCF
0,1674756000000,SBCF
4,1674759600000,SBCF
0,1674763200000,SBCF
0,1674766800000,SBCF
0,1674770400000,SBCF
0,1674774000000,SBCF
0,1674691200000,SBCT
0,1674694800000,SBCT
0,1674698400000,SBCT
0,1674702000000,SBCT
0,1674705600000,SBCT
0,1674709200000,SBCT
0,1674712800000,SBCT
0,1674716400000,SBCT
0,1674720000000,SBCT
0,1674723600000,SBCT
0,1674727200000,SBCT
0,1674730800000,SBCT
0,1674734400000,SBCT
0,1674738000000,SBCT
0,1674741600000,SBCT
0,1674745200000,SBCT
1,1674748800000,SBCT
0,1674752400000,SBCT
0,1674756000000,SBCT
0,1674759600000,SBCT
0,1674763200000,SBCT
0,1674766800000,SBCT
0,1674770400000,SBCT
0,1674774000000,SBCT
0,1674691200000,SBFL
0,1674694800000,SBFL
0,1674698400000,SBFL
0,1674702000000,SBFL
0,1674705600000,SBFL
0,1674709200000,SBFL
0,1674712800000,SBFL
0,1674716400000,SBFL
0,1674720000000,SBFL
0,1674723600000,SBFL
0,1674727200000,SBFL
0,1674730800000,SBFL
0,1674734400000,SBFL
0,1674738000000,SBFL
0,1674741600000,SBFL
0,1674745200000,SBFL
0,1674748800000,SBFL
0,1674752400000,SBFL
0,1674756000000,SBFL
0,1674759600000,SBFL
0,1674763200000,SBFL
0,1674766800000,SBFL
0,1674770400000,SBFL
0,1674774000000,SBFL
0,1674691200000,SBGL
0,1674694800000,SBGL
0,1674698400000,SBGL
0,1674702000000,SBGL
0,1674705600000,SBGL
0,1674709200000,SBGL
0,1674712800000,SBGL
0,1674716400000,SBGL
0,1674720000000,SBGL
0,1674723600000,SBGL
0,1674727200000,SBGL
0,1674730800000,SBGL
0,1674734400000,SBGL
0,1674738000000,SBGL
0,1674741600000,SBGL
0,1674745200000,SBGL
0,1674748800000,SBGL
0,1674752400000,SBGL
0,1674756000000,SBGL
0,1674759600000,SBGL
0,1674763200000,SBGL
0,1674766800000,SBGL
0,1674770400000,SBGL
0,1674774000000,SBGL
0,1674691200000,SBGR
0,1674694800000,SBGR
0,1674698400000,SBGR
0,1674702000000,SBGR
0,1674705600000,SBGR
0,1674709200000,SBGR
0,1674712800000,SBGR
0,1674716400000,SBGR
0,1674720000000,SBGR
0,1674723600000,SBGR
0,1674727200000,SBGR
0,1674730800000,SBGR
0,1674734400000,SBGR
0,1674738000000,SBGR
0,1674741600000,SBGR
0,1674745200000,SBGR
0,1674748800000,SBGR
1,1674752400000,SBGR
0,1674756000000,SBGR
0,1674759600000,SBGR
0,1674763200000,SBGR
0,1674766800000,SBGR
0,1674770400000,SBGR
0,1674774000000,SBGR
0,1674691200000,SBKP
0,1674694800000,SBKP
0,1674698400000,SBKP
0,1674702000000,SBKP
0,1674705600000,SBKP
0,1674709200000,SBKP
0,1674712800000,SBKP
0,1674716400000,SBKP
0,1674720000000,SBKP
0,1674723600000,SBKP
0,1674727200000,SBKP
0,1674730800000,SBKP
0,1674734400000,SBKP
0,1674738000000,SBKP
0,1674741600000,SBKP
0,1674745200000,SBKP
0,1674748800000,SBKP
0,1674752400000,SBKP
0,1674756000000,SBKP
0,1674759600000,SBKP
0,1674763200000,SBKP
0,1674766800000,SBKP
2,1674770400000,SBKP
0,1674774000000,SBKP
0,1674691200000,SBPA
0,1674694800000,SBPA
0,1674698400000,SBPA
0,1674702000000,SBPA
0,1674705600000,SBPA
0,1674709200000,SBPA
0,1674712800000,SBPA
0,1674716400000,SBPA
0,1674720000000,SBPA
0,1674723600000,SBPA
0,1674727200000,SBPA
0,1674730800000,SBPA
0,1674734400000,SBPA
0,1674738000000,SBPA
0,1674741600000,SBPA
0,1674745200000,SBPA
0,1674748800000,SBPA
0,1674752400000,SBPA
0,1674756000000,SBPA
0,1674759600000,SBPA
0,1674763200000,SBPA
0,1674766800000,SBPA
0,1674770400000,SBPA
0,1674774000000,SBPA
0,1674691200000,SBRF
0,1674694800000,SBRF
0,1674698400000,SBRF
0,1674702000000,SBRF
0,1674705600000,SBRF
0,1674709200000,SBRF
0,1674712800000,SBRF
0,1674716400000,SBRF
0,1674720000000,SBRF
0,1674723600000,SBRF
0,1674727200000,SBRF
0,1674730800000,SBRF
0,1674734400000,SBRF
0,1674738000000,SBRF
0,1674741600000,SBRF
0,1674745200000,SBRF
0,1674748800000,SBRF
0,1674752400000,SBRF
0,1674756000000,SBRF
0,1674759600000,SBRF
0,1674763200000,SBRF
0,1674766800000,SBRF
