hora,metaf,aero
1674691200000,"METAF SBGL 260000Z  12004KT 9000       BKN019   25/21 Q1015=
",SBGL
1674694800000,"METAF SBGL 260100Z 06003KT 6000       BKN016   24/21 Q1013=
",SBGL
1674698400000,"METAF SBGL 260200Z 06003KT 5000     BR BKN017   24/21 Q1013=
",SBGL
1674702000000,"METAF SBGL 260300Z  36003KT 5000     BR BKN017   23/20 Q1014=
",SBGL
1674705600000,"METAF SBGL 260400Z 01003KT 5000     BR BKN016   23/20 Q1013=
",SBGL
1674709200000,"METAF SBGL 260500Z 02004KT 6000       BKN016   22/19 Q1012=
",SBGL
1674712800000,"METAF SBGL 260600Z  32003KT 4000     BR OVC020   22/19 Q1013=
",SBGL
1674716400000,"METAF SBGL 260700Z  32002KT 4000     BR OVC016   21/19 Q1012=
",SBGL
1674720000000,"METAF SBGL 260800Z  36003KT 5000     BR OVC017   21/18 Q1012=
",SBGL
1674723600000,"METAF SBGL 260900Z  35003KT 6000       OVC017   21/18 Q1014=
",SBGL
1674727200000,"METAF SBGL 261000Z  35003KT 9000       BKN019   22/18 Q1014=
",SBGL
1674730800000,"METAF SBGL 261100Z 01003KT 9999       BKN021   24/19 Q1014=
",SBGL
1674734400000,"METAF SBGL 261200Z 07002KT 9999       BKN027   26/18 Q1016=
",SBGL
1674738000000,"METAF SBGL 261300Z  11004KT 9999       SCT033   27/17 Q1014=
",SBGL
1674741600000,"METAF SBGL 261400Z  13005KT 9999       BKN033   28/17 Q1013=
",SBGL
1674745200000,"METAF SBGL 261500Z  14006KT 9999       SCT033   29/16 Q1014=
",SBGL
1674748800000,"METAF SBGL 261600Z  14007KT 9999       FEW033   29/16 Q1013=
",SBGL
1674752400000,"METAF SBGL 261700Z  15010KT CAVOK 29/16 Q1013=
",SBGL
1674756000000,"METAF SBGL 261800Z  15011KT CAVOK 28/17 Q1013=
",SBGL
1674759600000,"METAF SBGL 261900Z  15010KT CAVOK 28/18 Q1011=
",SBGL
1674763200000,"METAF SBGL 262000Z  14011KT 9999       SCT031   27/18 Q1010=
",SBGL
1674766800000,"METAF SBGL 262100Z  14010KT 9999       SCT030   27/19 Q1013=
",SBGL
1674770400000,"METAF SBGL 262200Z  13009KT 9999       BKN027   26/19 Q1013=
",SBGL
1674774000000,"METAF SBGL 262300Z  11009KT 9999       OVC022   25/20 Q1013=
",SBGL
1674691200000,"METAF SBGR 260000Z  11007KT 8000       SCT017   21/17 Q1015=
",SBGR
1674694800000,"METAF SBGR 260100Z  12006KT 9000       FEW019   20/16 Q1015=
",SBGR
1674698400000,"METAF SBGR 260200Z 08006KT 8000       FEW020   19/15 Q1014=
",SBGR
1674702000000,"METAF SBGR 260300Z 07006KT 8000       FEW022   19/15 Q1014=
",SBGR
1674705600000,"METAF SBGR 260400Z 08005KT 7000       FEW023   18/14 Q1013=
",SBGR
1674709200000,"METAF SBGR 260500Z 06004KT 7000       FEW023   17/14 Q1012=
",SBGR
1674712800000,"METAF SBGR 260600Z 09005KT 1000     BR OVC033   17/16 Q1014=
",SBGR
1674716400000,"METAF SBGR 260700Z 08005KT 1000     BR OVC033   16/15 Q1012=
",SBGR
1674720000000,"METAF SBGR 260800Z 07005KT 1000     BR OVC014   16/15 Q1012=
",SBGR
1674723600000,"METAF SBGR 260900Z 06006KT 2000     BR BKN018   16/14 Q1014=
",SBGR
1674727200000,"METAF SBGR 261000Z 05004KT 6000       SCT020   18/14 Q1014=
",SBGR
1674730800000,"METAF SBGR 261100Z 07004KT CAVOK 20/13 Q1014=
",SBGR
1674734400000,"METAF SBGR 261200Z 08007KT CAVOK 22/12 Q1016=
",SBGR
