hora,metar,aero
1682467200000,METAR SBBR 260000Z 12006KT CAVOK 22/16 Q1021=,SBBR
1682470800000,METAR SBBR 260100Z 11007KT 080V140 CAVOK 21/16 Q1021=,SBBR
1682474400000,METAR SBBR 260200Z VRB02KT CAVOK 20/16 Q1021=,SBBR
1682478000000,METAR SBBR 260300Z 05003KT CAVOK 20/16 Q1021=,SBBR
1682481600000,METAR SBBR 260400Z 07002KT CAVOK 19/16 Q1021=,SBBR
1682485200000,METAR SBBR 260500Z 08002KT CAVOK 19/16 Q1020=,SBBR
1682488800000,METAR SBBR 260600Z 09002KT CAVOK 19/15 Q1020=,SBBR
1682492400000,METAR SBBR 260700Z 00000KT CAVOK 17/15 Q1020=,SBBR
1682496000000,METAR SBBR 260800Z 11004KT CAVOK 19/15 Q1020=,SBBR
1682499600000,METAR SBBR 260900Z 06002KT CAVOK 18/15 Q1020=,SBBR
1682503200000,METAR SBBR 261000Z 11002KT CAVOK 18/15 Q1021=,SBBR
1682506800000,METAR SBBR 261100Z 10006KT CAVOK 20/16 Q1022=,SBBR
1682510400000,METAR SBBR 261200Z 08009KT 9999 FEW018 22/16 Q1022=,SBBR
1682514000000,METAR SBBR 261300Z 07007KT 010V110 9999 FEW020 23/16 Q1022=,SBBR
1682517600000,METAR SBBR 261400Z 08011KT 060V120 9999 FEW030 25/16 Q1021=,SBBR
1682521200000,METAR SBBR 261500Z 08008KT 040V110 9999 FEW036 26/16 Q1021=,SBBR
1682524800000,METAR SBBR 261600Z 08007KT 040V120 9999 FEW036 26/15 Q1020=,SBBR
1682528400000,METAR SBBR 261700Z 10004KT 060V190 9999 BKN040 27/14 Q1019=,SBBR
1682532000000,METAR SBBR 261800Z 11006KT 070V140 9999 SCT045 27/15 Q1018=,SBBR
1682535600000,METAR SBBR 261900Z 08006KT 9999 SCT045 28/14 Q1018=,SBBR
1682539200000,METAR SBBR 262000Z 10007KT 9999 SCT045 27/14 Q1018=,SBBR
1682542800000,METAR SBBR 262100Z 12006KT 9999 SCT045 26/15 Q1018=,SBBR
1682546400000,METAR SBBR 262200Z 13005KT CAVOK 24/15 Q1019=,SBBR
1682550000000,METAR SBBR 262300Z 13005KT CAVOK 24/15 Q1019=,SBBR
1682467200000,METAR SBCF 260000Z 05004KT CAVOK 21/15 Q1021=,SBCF
1682470800000,METAR SBCF 260100Z 11005KT 9999 FEW030 BKN100 21/15 Q1021=,SBCF
1682474400000,METAR SBCF 260200Z 11005KT CAVOK 20/16 Q1021=,SBCF
1682478000000,METAR SBCF 260300Z 10008KT CAVOK 20/16 Q1021=,SBCF
1682481600000,METAR SBCF 260400Z 12003KT CAVOK 19/16 Q1021=,SBCF
1682485200000,METAR SBCF 260500Z 05002KT CAVOK 18/16 Q1020=,SBCF
1682488800000,METAR SBCF 260600Z 12003KT CAVOK 18/16 Q1020=,SBCF
1682492400000,METAR SBCF 260700Z 13003KT CAVOK 18/16 Q1020=,SBCF
1682496000000,METAR SBCF 260800Z 10008KT CAVOK 19/16 Q1020=,SBCF
1682499600000,METAR SBCF 260900Z 06002KT 9999 FEW030 SCT100 17/16 Q1020=,SBCF
1682503200000,METAR SBCF 261000Z 14002KT 9999 FEW025 18/16 Q1021=,SBCF
1682506800000,METAR SBCF 261100Z 16002KT 9999 FEW020 20/17 Q1022=,SBCF
1682510400000,METAR SBCF 261200Z 05008KT 9999 FEW023 23/16 Q1022=,SBCF
1682514000000,METAR SBCF 261300Z 04006KT 9999 SCT025 24/17 Q1022=,SBCF
1682517600000,METAR SBCF 261400Z 03006KT 9999 SCT027 25/16 Q1021=,SBCF
1682521200000,METAR SBCF 261500Z 01005KT 9999 SCT030 27/17 Q1020=,SBCF
1682524800000,METAR SBCF 261600Z 05007KT 9999 BKN035 26/16 Q1019=,SBCF
1682528400000,METAR SBCF 261700Z 06007KT 9999 BKN042 27/17 Q1018=,SBCF
1682532000000,METAR SBCF 261800Z 05008KT 9999 BKN043 27/16 Q1017=,SBCF
1682535600000,METAR SBCF 261900Z 05009KT 9999 SCT040 27/16 Q1017=,SBCF
1682539200000,METAR SBCF 262000Z 04006KT 9999 SCT040 26/16 Q1017=,SBCF
1682542800000,METAR SBCF 262100Z 04006KT 9999 FEW040 24/16 Q1018=,SBCF
1682546400000,METAR SBCF 262200Z 06006KT 9999 FEW045 23/16 Q1018=,SBCF
1682550000000,METAR SBCF 262300Z 11002KT 9999 FEW045 22/16 Q1019=,SBCF
1682467200000,METAR SBCT 260000Z 07004KT 6000 BKN002 15/15 Q1021=,SBCT
1682470800000,METAR SBCT 260100Z 06005KT 4000 BR OVC002 16/15 Q1021=,SBCT
1682474400000,METAR SBCT 260200Z 06004KT 6000 FEW002 OVC004 15/15 Q1020=,SBCT
1682478000000,METAR SBCT 260300Z 08005KT 5000 BR BKN003 15/15 Q1020=,SBCT
1682481600000,METAR SBCT 260400Z 09002KT 9000 BKN005 15/15 Q1020=,SBCT
1682485200000,METAR SBCT 260500Z 02007KT 9999 OVC005 16/15 Q1019=,SBCT
1682488800000,METAR SBCT 260600Z 04005KT 9999 BKN006 16/15 Q1018=,SBCT
1682492400000,METAR SBCT 260700Z 01006KT 9999 BKN007 16/15 Q1018=,SBCT
1682496000000,METAR SBCT 260800Z 02006KT 9999 BKN007 BKN070 16/15 Q1018=,SBCT
1682499600000,METAR SBCT 260900Z 36005KT 9999 BKN014 BKN070 16/15 Q1018=,SBCT
1682500800000,SPECI SBCT 260920Z 36006KT 9999 FEW014 BKN100 16/15 Q1018=,SBCT
1682503200000,METAR SBCT 261000Z 01006KT 9999 FEW014 BKN100 16/15 Q1018=,SBCT
1682506800000,METAR SBCT 261100Z 01005KT CAVOK 16/15 Q1018=,SBCT
1682510400000,METAR SBCT 261200Z 32005KT CAVOK 18/14 Q1019=,SBCT
1682514000000,METAR SBCT 261300Z 30007KT CAVOK 19/14 Q1019=,SBCT
