hora,nova_cabeceira,antiga_cabeceira,aero
1681732089000,35,17,SV
1681733155000,33,15,KP
1681733271000,10,35,SV
1681733385000,17,10,SV
1681734471000,10,17,SV
1681734597000,10L,07,GR
1681734837000,14,32,FL
1681736471000,28,10,SV
1681736552000,14,23,FL
1681706443000,29,11,PA
1681709607000,17,10,SV
1681710518000,10,17,SV
1681722404000,35L,17R,SP
1681723066000,33,15,CT
1681723386000,02R,20L,RJ
1681723843000,15,23,GL
1681724945000,35L,12,SP
1681727933000,15,24,GL
1681737899000,33,16,KP
1681738083000,33,36,KP
1681738481000,29R,11R,BR
1681738890000,11R,29R,BR
1681728753000,15,08,GL
1681729365000,15,33,CT
1681729877000,15,16,GL
1681730012000,11R,29L,BR
1681739104000,17,28,SV
1681730264000,17,10,SV
1681730443000,15,08,GL
1681743344000,28,10,SV
1681743637000,34,16,CF
1681744255000,28,17,SV
1681739904000,28,17,SV
1681740329000,17,28,SV
1681740330000,14,25,FL
1681740491000,28,17,SV
1681740728000,17,28,SV
1681741839000,28,17,SV
1681744676000,32,07,FL
1681744999000,14,25,FL
1681742225000,28L,10R,GR
1681742990000,33,15,CT
1681743253000,17,28,SV
1681747016000,33,17,KP
1681747139000,17,28,SV
1681747219000,28,17,SV
1681747690000,15,03,GL
1681748210000,33,16,KP
1681759705000,33,15,KP
1681749563000,34,13,CF
1681749743000,17,28,SV
1681749853000,28,17,SV
1681750514000,29L,11R,BR
1681761333000,28,17,SV
1681762518000,17,28,SV
1681762632000,10,17,SV
1681762831000,17,10,SV
1681762858000,20L,02R,RJ
1681763312000,15,33,KP
1681763356000,10,17,SV
1681750770000,28,15,SV
1681751431000,33,15,GL
1681751972000,34,13,CF
1681753140000,35L,21,SP
1681764198000,17,10,SV
1681764207000,10,17,SV
1681753753000,17,28,SV
1681755861000,28,17,SV
1681764852000,33,15,KP
1681765288000,11,15,PA
1681765396000,29R,11R,BR
1681766383000,34,07,CF
1681755919000,15,33,GL
1681756413000,14,25,FL
1681756555000,33,15,GL
1681767913000,17,10,SV
1681757085000,17,28,SV
1681757114000,33,36,KP
1681757150000,18,15,RF
1681768317000,10,17,SV
1681768727000,17,10,SV
1681769168000,10,17,SV
1681769703000,17,10,SV
1681770463000,10,17,SV
1681757243000,28,17,SV
1681758590000,21,14,FL
1681758856000,15,33,GL
1681758926000,11R,29L,BR
1681758988000,14,21,FL
1681772939000,10R,28L,GR
1681775481000,17,10,SV
1681759234000,17,28,SV
1681759262000,35L,17,SP
