hora,metaf,aero,hora_dt
1654041600000,"METAF SBGL 010000Z  25002KT 3000     BR OVC033   23/21 Q1016=
",SBGL,2022-06-01 00:00:00
1654045200000,"METAF SBGL 010100Z 02001KT 2000     BR OVC011   22/21 Q1017=
",SBGL,2022-06-01 01:00:00
1654048800000,"METAF SBGL 010200Z 09000KT 2000     BR OVC011   22/21 Q1018=
",SBGL,2022-06-01 02:00:00
1654052400000,"METAF SBGL 010300Z 09002KT 1000    RABR OVC033   22/21 Q1017=
",SBGL,2022-06-01 03:00:00
1654056000000,"METAF SBGL 010400Z 07003KT 1000    RABR OVC033   22/21 Q1016=
",SBGL,2022-06-01 04:00:00
1654059600000,"METAF SBGL 010500Z 09003KT 1000    RABR OVC033   22/21 Q1016=
",SBGL,2022-06-01 05:00:00
1654063200000,"METAF SBGL 010600Z 05002KT 1000     BR OVC033   22/21 Q1014=
",SBGL,2022-06-01 06:00:00
1654066800000,"METAF SBGL 010700Z 04004KT 1000     BR OVC033   21/21 Q1016=
",SBGL,2022-06-01 07:00:00
1654070400000,"METAF SBGL 010800Z 02003KT 1000     BR OVC033   21/21 Q1016=
",SBGL,2022-06-01 08:00:00
1654074000000,"METAF SBGL 010900Z 03005KT 1000     BR OVC011   21/21 Q1016=
",SBGL,2022-06-01 09:00:00
1654077600000,"METAF SBGL 011000Z 04005KT 1000     BR OVC013   22/21 Q1017=
",SBGL,2022-06-01 10:00:00
1654081200000,"METAF SBGL 011100Z 07003KT 2000     BR BKN033   22/20 Q1017=
",SBGL,2022-06-01 11:00:00
1654084800000,"METAF SBGL 011200Z  15002KT 2000     BR BKN033   22/21 Q1017=
",SBGL,2022-06-01 12:00:00
1654088400000,"METAF SBGL 011300Z  10002KT 4000     BR SCT014   23/20 Q1018=
",SBGL,2022-06-01 13:00:00
1654092000000,"METAF SBGL 011400Z  11002KT 8000       FEW021   24/20 Q1017=
",SBGL,2022-06-01 14:00:00
1654095600000,"METAF SBGL 011500Z  14002KT 9000       SCT033   25/20 Q1015=
",SBGL,2022-06-01 15:00:00
1654099200000,"METAF SBGL 011600Z  15003KT 9999       SCT033   25/20 Q1013=
",SBGL,2022-06-01 16:00:00
1654102800000,"METAF SBGL 011700Z  17005KT 9999       SCT033   26/20 Q1013=
",SBGL,2022-06-01 17:00:00
1654106400000,"METAF SBGL 011800Z  15008KT 9999       SCT030   26/21 Q1013=
",SBGL,2022-06-01 18:00:00
1654110000000,"METAF SBGL 011900Z  13009KT 9999       FEW033   26/21 Q1013=
",SBGL,2022-06-01 19:00:00
1654113600000,"METAF SBGL 012000Z  12009KT 9000       SCT033   25/21 Q1013=
",SBGL,2022-06-01 20:00:00
1654117200000,"METAF SBGL 012100Z 09008KT 8000       FEW033   25/21 Q1013=
",SBGL,2022-06-01 21:00:00
1654120800000,"METAF SBGL 012200Z 09008KT 7000       FEW033   24/21 Q1014=
",SBGL,2022-06-01 22:00:00
1654124400000,"METAF SBGL 012300Z 09007KT CAVOK 24/21 Q1014=
",SBGL,2022-06-01 23:00:00
1654041600000,"METAF SBGR 010000Z  12008KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-01 00:00:00
1654045200000,"METAF SBGR 010100Z  11008KT 1000     BR OVC033   15/14 Q1018=
",SBGR,2022-06-01 01:00:00
1654048800000,"METAF SBGR 010200Z  12008KT 1000     BR OVC033   15/14 Q1018=
",SBGR,2022-06-01 02:00:00
1654052400000,"METAF SBGR 010300Z  11008KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-01 03:00:00
1654056000000,"METAF SBGR 010400Z  11008KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-01 04:00:00
1654059600000,"METAF SBGR 010500Z  11007KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-01 05:00:00
1654063200000,"METAF SBGR 010600Z  10005KT 0750 FG     OVC033   15/15 Q1015=
",SBGR,2022-06-01 06:00:00
1654066800000,"METAF SBGR 010700Z  12005KT 1000     BR OVC033   15/15 Q1016=
",SBGR,2022-06-01 07:00:00
1654070400000,"METAF SBGR 010800Z  10005KT 1000     BR OVC033   16/15 Q1016=
",SBGR,2022-06-01 08:00:00
1654074000000,"METAF SBGR 010900Z  10005KT 1000     BR OVC033   16/15 Q1015=
",SBGR,2022-06-01 09:00:00
1654077600000,"METAF SBGR 011000Z  10006KT 1000     BR OVC033   16/15 Q1017=
",SBGR,2022-06-01 10:00:00
1654081200000,"METAF SBGR 011100Z 09005KT 1000     BR OVC033   16/15 Q1017=
",SBGR,2022-06-01 11:00:00
1654084800000,"METAF SBGR 011200Z 09004KT 2000     BR OVC033   17/16 Q1016=
",SBGR,2022-06-01 12:00:00
1654088400000,"METAF SBGR 011300Z  10004KT 4000     BR OVC033   18/16 Q1018=
",SBGR,2022-06-01 13:00:00
1654092000000,"METAF SBGR 011400Z 08003KT 7000       BKN015   20/16 Q1017=
",SBGR,2022-06-01 14:00:00
1654095600000,"METAF SBGR 011500Z 01002KT 9999       OVC026   23/16 Q1015=
",SBGR,2022-06-01 15:00:00
1654099200000,"METAF SBGR 011600Z  21000KT 9999    RA  FEW030   23/17 Q1014=
",SBGR,2022-06-01 16:00:00
1654102800000,"METAF SBGR 011700Z  10001KT 9999  -TSRA   FEW030CB 23/17 Q1014=
",SBGR,2022-06-01 17:00:00
1654106400000,"METAF SBGR 011800Z  22003KT 9999  -TSRA   FEW030CB 23/17 Q1013=
",SBGR,2022-06-01 18:00:00
