hora,metar,aero,hora_dt
1654041600000,METAR SBBR 010000Z 07002KT CAVOK 21/08 Q1018=,SBBR,2022-06-01 00:00:00
1654045200000,METAR SBBR 010100Z 10002KT CAVOK 20/09 Q1019=,SBBR,2022-06-01 01:00:00
1654048800000,METAR SBBR 010200Z 00000KT CAVOK 16/09 Q1019=,SBBR,2022-06-01 02:00:00
1654052400000,METAR SBBR 010300Z 27002KT CAVOK 16/09 Q1019=,SBBR,2022-06-01 03:00:00
1654056000000,METAR SBBR 010400Z 00000KT CAVOK 14/09 Q1018=,SBBR,2022-06-01 04:00:00
1654059600000,METAR SBBR 010500Z 27004KT CAVOK 13/08 Q1018=,SBBR,2022-06-01 05:00:00
1654063200000,METAR SBBR 010600Z 25003KT CAVOK 14/08 Q1018=,SBBR,2022-06-01 06:00:00
1654066800000,METAR SBBR 010700Z 28002KT CAVOK 12/08 Q1018=,SBBR,2022-06-01 07:00:00
1654070400000,METAR SBBR 010800Z VRB01KT CAVOK 11/08 Q1018=,SBBR,2022-06-01 08:00:00
1654074000000,METAR SBBR 010900Z 26002KT CAVOK 12/09 Q1019=,SBBR,2022-06-01 09:00:00
1654077600000,METAR SBBR 011000Z VRB02KT CAVOK 11/08 Q1019=,SBBR,2022-06-01 10:00:00
1654081200000,METAR SBBR 011100Z VRB01KT CAVOK 15/10 Q1020=,SBBR,2022-06-01 11:00:00
1654084800000,METAR SBBR 011200Z VRB02KT CAVOK 20/11 Q1021=,SBBR,2022-06-01 12:00:00
1654088400000,METAR SBBR 011300Z 08009KT 050V110 CAVOK 23/12 Q1020=,SBBR,2022-06-01 13:00:00
1654092000000,METAR SBBR 011400Z 09011KT CAVOK 25/12 Q1020=,SBBR,2022-06-01 14:00:00
1654095600000,METAR SBBR 011500Z 09009KT 060V130 CAVOK 27/11 Q1019=,SBBR,2022-06-01 15:00:00
1654099200000,METAR SBBR 011600Z 08006KT 320V130 CAVOK 27/10 Q1018=,SBBR,2022-06-01 16:00:00
1654102800000,METAR SBBR 011700Z 06007KT 010V110 CAVOK 28/10 Q1017=,SBBR,2022-06-01 17:00:00
1654106400000,METAR SBBR 011800Z 06004KT CAVOK 28/09 Q1017=,SBBR,2022-06-01 18:00:00
1654110000000,METAR SBBR 011900Z 11003KT CAVOK 28/09 Q1016=,SBBR,2022-06-01 19:00:00
1654113600000,METAR SBBR 012000Z 07006KT 010V110 CAVOK 27/10 Q1016=,SBBR,2022-06-01 20:00:00
1654117200000,METAR SBBR 012100Z 11007KT CAVOK 26/09 Q1017=,SBBR,2022-06-01 21:00:00
1654120800000,METAR SBBR 012200Z 12007KT CAVOK 25/09 Q1017=,SBBR,2022-06-01 22:00:00
1654124400000,METAR SBBR 012300Z 05002KT CAVOK 22/10 Q1018=,SBBR,2022-06-01 23:00:00
1654041600000,METAR SBCF 010000Z 12006KT CAVOK 21/14 Q1018=,SBCF,2022-06-01 00:00:00
